r,y,e,u,d
[1.998781 0.06982749 2.001224],[3.799579 0.7064773 1.827301],[-1.800797 -0.6366498 0.1739228],[-0.0001006546 0.0 8.586465E-05],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.800338 0.7065015 1.827273],[-1.801557 -0.636674 0.1739514],[-0.0003293228 0.0 9.443601E-05],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.800461 0.7065054 1.827449],[-1.80168 -0.6366779 0.1737751],[-0.0005552667 0.0 0.000102422],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.79991 0.7064877 1.82783],[-1.801128 -0.6366602 0.1733941],[-0.0007750616 0.0 0.0001095848],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.798612 0.7064462 1.828418],[-1.799831 -0.6366187 0.172806],[-0.0009852508 0.0 0.0001156437],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.796467 0.7063774 1.829212],[-1.797686 -0.6365499 0.1720123],[-0.001182527 0.0 0.0001209196],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.793363 0.706278 1.830209],[-1.794582 -0.6364505 0.1710147],[-0.001365646 0.0 0.0001254085],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.789165 0.7061434 1.831418],[-1.790383 -0.6363159 0.1698061],[-0.001531387 0.0 0.0001282684],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.783726 0.705969 1.832829],[-1.784945 -0.6361415 0.1683953],[-0.001678396 0.0 0.0001309128],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.77688 0.7057493 1.834448],[-1.778099 -0.6359218 0.1667758],[-0.00180352 0.0 0.0001319266],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.768462 0.7054789 1.836275],[-1.769681 -0.6356514 0.1649491],[-0.001906385 0.0 0.0001319775],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.758306 0.7051525 1.838308],[-1.759525 -0.635325 0.1629159],[-0.001985909 0.0 0.0001310042],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.746265 0.7047648 1.840548],[-1.747484 -0.6349373 0.1606756],[-0.002042814 0.0 0.0001288079],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.732178 0.7043109 1.843],[-1.733397 -0.6344834 0.1582236],[-0.002075011 0.0 0.000125001],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.715902 0.7037857 1.845654],[-1.71712 -0.6339582 0.15557],[-0.002083236 0.0 0.0001209272],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.697309 0.7031848 1.848507],[-1.698528 -0.6333573 0.1527168],[-0.002068073 0.0 0.0001158126],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.676295 0.7025046 1.851559],[-1.677514 -0.6326771 0.1496654],[-0.002030623 0.0 0.0001095994],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.652773 0.7017419 1.854799],[-1.653992 -0.6319144 0.1464251],[-0.0019721 0.0 0.0001029998],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.626675 0.7008942 1.858224],[-1.627893 -0.6310667 0.1429998],[-0.001893288 0.0 9.548813E-05],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.597959 0.6999598 1.86183],[-1.599178 -0.6301323 0.1393945],[-0.00179625 0.0 8.719754E-05],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.566607 0.6989375 1.865606],[-1.567826 -0.62911 0.1356176],[-0.001682343 0.0 7.840415E-05],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.532614 0.697827 1.869548],[-1.533833 -0.6279995 0.1316764],[-0.001552614 0.0 6.90344E-05],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.49602 0.696629 1.873641],[-1.497239 -0.6268015 0.1275826],[-0.00141076 0.0 5.948889E-05],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.456885 0.6953449 1.877875],[-1.458104 -0.6255174 0.1233487],[-0.001258548 0.0 4.990317E-05],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.415288 0.693977 1.882239],[-1.416507 -0.6241495 0.1189854],[-0.001097387 0.0 4.009065E-05],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.371333 0.6925282 1.88672],[-1.372552 -0.6227007 0.1145037],[-0.0009299651 0.0 3.012956E-05],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.325138 0.691002 1.891309],[-1.326357 -0.6211745 0.1099151],[-0.0007572654 0.0 2.007956E-05],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.276866 0.6894034 1.895986],[-1.278085 -0.6195759 0.105238],[-0.0005839355 0.0 1.062728E-05],[0.0 0.0 0.0]
[1.998781 0.06982749 2.001224],[3.226675 0.6877372 1.900736],[-1.227893 -0.6179097 0.1004876],[-0.0004096449 0.0 1.548552E-06],[0.0 0.0 0.0]
