r,y,e,u,d
[0.0178205252701079 -3.93996222467657E-249 0.0180711313223806 -3.9399627499622E-249],[0.0178245352927516 0.0 0.0180671427124538 0.0],[-4.01002264370509E-06 -3.93996222467657E-249 3.98860992682076E-06 -3.9399627499622E-249],[308.822353738402 9.98423655248499E-246 310.917705875393 9.98423788360843E-246],[0.0 0.0 0.0 0.0]
[0.0178211900397922 -3.79355499473578E-249 0.018070470032442 -3.79355550050203E-249],[0.0178244900212996 0.0 0.0180671880476336 0.0],[-3.29998150736324E-06 -3.79355499473578E-249 3.28198480834332E-06 -3.79355550050203E-249],[308.822031000145 9.61322679823718E-246 310.918026853573 9.61322807989667E-246],[0.0 0.0 0.0 0.0]
[0.0178218264956879 -3.65258819182362E-249 0.018069836916697 -3.65258867879583E-249],[0.0178244527659534 0.0 0.0180672253512417 0.0],[-2.62627026557591E-06 -3.65258819182362E-249 2.61156545532451E-06 -3.65258867879583E-249],[308.821774150861 9.25600360012949E-246 310.918282264726 9.25600483416309E-246],[0.0 0.0 0.0 0.0]
[0.0178217749407482 -3.51685965211073E-249 0.0180698882429205 -3.51686012098727E-249],[0.01782442311654 0.0 0.0180672550347748 0.0],[-2.64817579176749E-06 -3.51685965211073E-249 2.63320814566578E-06 -3.51686012098727E-249],[308.821515159215 8.91205465591641E-246 310.918539792536 8.91205584409387E-246],[0.0 0.0 0.0 0.0]
[0.0178230514030963 -3.38617472408497E-249 0.0180686184533547 -3.38617517553827E-249],[0.017824393219848 0.0 0.0180672849643273 0.0],[-1.34181675169945E-06 -3.38617472408497E-249 1.33348902736294E-06 -3.38617517553827E-249],[308.82138392951 8.58088670027421E-246 310.918670207789 8.58088784429953E-246],[0.0 0.0 0.0 0.0]
[0.0178236250424425 -3.26034598939716E-249 0.0180680478385586 -3.26034642407466E-249],[0.0178243780713609 0.0 0.0180673001210307 0.0],[-7.53028918370341E-07 -3.26034598939716E-249 7.47717527879721E-07 -3.26034642407466E-249],[308.821310283267 8.26202479739745E-246 310.918743334578 8.26202589891131E-246],[0.0 0.0 0.0 0.0]
[0.0178241860359883 -3.13919299407996E-249 0.0180674898025515 -3.13919341260504E-249],[0.0178243695700174 0.0 0.0180673086197407 0.0],[-1.83534029096072E-07 -3.13919299407996E-249 1.81182810792685E-07 -3.13919341260504E-249],[308.821292333635 7.95501165988232E-246 310.918761054261 7.95501272046441E-246],[0.0 0.0 0.0 0.0]
[0.0178247371626812 -3.02254198975453E-249 0.0180669415789881 -3.0225423927274E-249],[0.0178243674980046 0.0 0.0180673106791018 0.0],[3.69664676636711E-07 -3.02254198975453E-249 -3.69100113719462E-07 -3.0225423927274E-249],[308.821328486848 7.65940699291989E-246 310.918724956262 7.65940801409123E-246],[0.0 0.0 0.0 0.0]
[0.0178252807314605 -2.91022568445391E-249 0.0180664008691939 -2.91022607245249E-249],[0.017824371671345 0.0 0.0180673064838341 0.0],[9.09060115530935E-07 -2.91022568445391E-249 -9.05614640171054E-07 -2.91022607245249E-249],[308.821417392945 7.37478686285899E-246 310.918636387132 7.37478784608405E-246],[0.0 0.0 0.0 0.0]
[0.0178258188241241 -2.80208300270563E-249 0.0180658656005459 -2.80208337628636E-249],[0.0178243819342084 0.0 0.0180672961904342 0.0],[1.4368899156729E-06 -2.80208300270563E-249 -1.43058988826689E-06 -2.80208337628636E-249],[308.821557920808 7.10074308923282E-246 310.918496475413 7.10074403592168E-246],[0.0 0.0 0.0 0.0]
[0.0178263532599876 -2.69795885452957E-249 0.0180653339616213 -2.69795921422821E-249],[0.0178243981560293 0.0 0.018067279930065 0.0],[1.95510395827395E-06 -2.69795885452957E-249 -1.94596844371731E-06 -2.69795921422821E-249],[308.821749130014 6.83688265937778E-246 310.91830615966 6.83688357088811E-246],[0.0 0.0 0.0 0.0]
[0.0178268856962345 -2.59770391301974E-249 0.0180648043023574 -2.59770425935214E-249],[0.0178244202282583 0.0 0.0180672578118124 0.0],[2.46546797617875E-06 -2.59770391301974E-249 -2.4535094550332E-06 -2.59770425935214E-249],[308.821990252831 6.58282716480464E-246 310.918066206386 6.58282804244365E-246],[0.0 0.0 0.0 0.0]
[0.0178274174106204 -2.50117440019103E-249 0.0180642753502216 -2.50117473365387E-249],[0.0178244480622831 0.0 0.01806722992477 0.0],[2.96934833738868E-06 -2.50117440019103E-249 -2.95457454838055E-06 -2.50117473365387E-249],[308.822280655158 6.33821225851397E-246 310.917777248937 6.33821310354031E-246],[0.0 0.0 0.0 0.0]
[0.0178272854191897 -2.40823188078379E-249 0.0180644066813454 -2.4082322018553E-249],[0.0178244815849193 0.0 0.0180671963425577 0.0],[2.80383427034986E-06 -2.40823188078379E-249 -2.78966121233445E-06 -2.4082322018553E-249],[308.822554870206 6.10268713247752E-246 310.917504420014 6.10268794610307E-246],[0.0 0.0 0.0 0.0]
[0.0178271740127054 -2.31874306373058E-249 0.0180645175240576 -2.31874337287121E-249],[0.0178245132390035 0.0 0.0180671646348079 0.0],[2.66077370186801E-06 -2.31874306373058E-249 -2.64711075032009E-06 -2.31874337287121E-249],[308.822815093927 5.8759140145361E-246 310.91724553253 5.87591479792768E-246],[0.0 0.0 0.0 0.0]
[0.0178277450884187 -2.23257961100025E-249 0.0180639493829841 -2.23257990865335E-249],[0.0178245432780213 0.0 0.0180671345473359 0.0],[3.20181039739978E-06 -2.23257961100025E-249 -3.18516435178842E-06 -2.23257990865335E-249],[308.823128231048 5.65756768399251E-246 310.916934023393 5.65756843827361E-246],[0.0 0.0 0.0 0.0]
[0.0178283131812671 -2.14961795354535E-249 0.0180633841972854 -2.14961824013781E-249],[0.0178245794251498 0.0 0.0180670983442963 0.0],[3.73375611723709E-06 -2.14961795354535E-249 -3.71414701088105E-06 -2.14961824013781E-249],[308.823493392471 5.44733500520487E-246 310.916570779741 5.44733573145722E-246],[0.0 0.0 0.0 0.0]
[0.0178275510658158 -2.06973911408887E-249 0.0180641423854352 -2.06973939003167E-249],[0.017824621577774 0.0 0.018067056128809 0.0],[2.92948804175505E-06 -2.06973911408887E-249 -2.91374337374473E-06 -2.06973939003167E-249],[308.82377989646 5.24491447851137E-246 310.916285815581 5.24491517777651E-246],[0.0 0.0 0.0 0.0]
[0.0178274910245347 -1.99282853649603E-249 0.0180642020922808 -1.99282880218492E-249],[0.0178246546505659 0.0 0.01806702301085 0.0],[2.83637396886194E-06 -1.99282853649603E-249 -2.82091856925251E-06 -1.99282880218492E-249],[308.82405729389 5.05001580784246E-246 310.916009929689 5.05001648112322E-246],[0.0 0.0 0.0 0.0]
[0.0178274440812342 -1.91877592148668E-249 0.0180642487613451 -1.91877617730269E-249],[0.0178246866721649 0.0 0.0180669909479779 0.0],[2.75740906935038E-06 -1.91877592148668E-249 -2.74218663283421E-06 -1.91877617730269E-249],[308.824326968552 4.86235948440039E-246 310.915741743781 4.86236013266234E-246],[0.0 0.0 0.0 0.0]
[0.0178274085894417 -1.84747506845248E-249 0.0180642840312399 -1.84747531476249E-249],[0.0178247178023074 0.0 0.0180669597800089 0.0],[2.69078713427406E-06 -1.84747506845248E-249 -2.67574876906818E-06 -1.84747531476249E-249],[308.824590127588 4.68167638580906E-246 310.915480055498 4.68167700998188E-246],[0.0 0.0 0.0 0.0]
[0.0178273832387671 -1.77882372315208E-249 0.0180643092061504 -1.77882396030932E-249],[0.0178247481803387 0.0 0.0180669293672053 0.0],[2.63505842832898E-06 -1.77882372315208E-249 -2.62016105496629E-06 -1.77882396030932E-249],[308.824847836355 4.50770739015916E-246 310.915223803695 4.50770799113801E-246],[0.0 0.0 0.0 0.0]
[0.0178267023389411 -1.7127234310659E-249 0.018064986558957 -1.71272365941048E-249],[0.0178247779292379 0.0 0.0180668995862416 0.0],[1.92440970325433E-06 -1.7127234310659E-249 -1.91302728457313E-06 -1.71272365941048E-249],[308.825036043662 4.34020300439541E-246 310.915036709588 4.34020358304215E-246],[0.0 0.0 0.0 0.0]
[0.0178267125494584 -1.64907939620015E-249 0.0180649763452884 -1.64907961605955E-249],[0.0178247996551741 0.0 0.0180668778426333 0.0],[1.91289428425057E-06 -1.64907939620015E-249 -1.90149734483405E-06 -1.64907961605955E-249],[308.825223124761 4.17892300651259E-246 310.91485074311 4.17892356365708E-246],[0.0 0.0 0.0 0.0]
[0.0178260618007148 -1.5878003451377E-249 0.0180656236912455 -1.58780055682722E-249],[0.0178248212511183 0.0 0.0180668562300881 0.0],[1.24054959646167E-06 -1.5878003451377E-249 -1.23253884254035E-06 -1.58780055682722E-249],[308.825344450537 4.02363610104751E-246 310.914730200786 4.02363663748876E-246],[0.0 0.0 0.0 0.0]
[0.0178260973337156 -1.52879839614066E-249 0.0180655882803259 -1.52879859996389E-249],[0.0178248352565202 0.0 0.0180668422209766 0.0],[1.26207719538737E-06 -1.52879839614066E-249 -1.25394065066814E-06 -1.52879859996389E-249],[308.825467881712 3.87411958737269E-246 310.914607565366 3.87412010388002E-246],[0.0 0.0 0.0 0.0]
[0.0178254676744753 -1.47198893311712E-249 0.0180662146391471 -1.47198912936638E-249],[0.0178248495049674 0.0 0.0180668279686164 0.0],[6.18169507971E-07 -1.47198893311712E-249 -6.13329469271312E-07 -1.47198912936638E-249],[308.825528338702 3.73015904031614E-246 310.914547581731 3.73015953763029E-246],[0.0 0.0 0.0 0.0]
[0.0189084791541869 -1.41729048427124E-249 0.0169829401520968 -1.41729067322796E-249],[0.0178248564839051 0.0 0.0180668209974811 0.0],[0.00108362267028182 -1.41729048427124E-249 -0.00108388084538427 -1.41729067322796E-249],[308.931506657497 3.59154800264912E-246 310.808544013406 3.5915484814833E-246],[0.0 0.0 0.0 0.0]
[0.0198081865301888 -1.36462460526256E-249 0.0160734535269968 -1.36462478719773E-249],[0.0178370923405803 0.0 0.0180545036515569 0.0],[0.00197109418960856 -1.36462460526256E-249 -0.00198105012456009 -1.36462478719773E-249],[309.124279708606 3.45808768900096E-246 310.61479727166 3.45808815004188E-246],[0.0 0.0 0.0 0.0]
[0.0205345011746866 -1.31391576670715E-249 0.0153320875943626 -1.3139159418817E-249],[0.0178593599530022 0.0 0.018032001625404 0.0],[0.00267514122168433 -1.31391576670715E-249 -0.00269991403104149 -1.3139159418817E-249],[309.385908573513 3.32958670077625E-246 310.350745625503 3.32958714468509E-246],[0.0 0.0 0.0 0.0]
[0.0210988165916339 -1.26509124585914E-249 0.0147508745890826 -1.26509141452427E-249],[0.0178896034614308 0.0 0.0180013568786288 0.0],[0.00320921313020314 -1.26509124585914E-249 -0.00325048228954615 -1.26509141452427E-249],[309.69976968174 3.20586075166557E-246 310.032848392668 3.20586117907896E-246],[0.0 0.0 0.0 0.0]
[0.0215089057236383 -1.21808102231726E-249 0.0143248113143949 -1.21808118471488E-249],[0.0179259186176589 0.0 0.0179644976105026 0.0],[0.00358298710597941 -1.21808102231726E-249 -0.00363968629610771 -1.21808118471488E-249],[310.050185892262 3.08673240335614E-246 309.676887000219 3.08673281488704E-246],[0.0 0.0 0.0 0.0]
[0.0217802908279643 -1.17281767760701E-249 0.0140401641931702 -1.17281783397E-249],[0.0179665068697168 0.0 0.01792326974302 0.0],[0.00381378395824751 -1.17281767760701E-249 -0.00388310554984986 -1.17281783397E-249],[310.423174039545 2.97203081106335E-246 309.297119199893 2.97203120730195E-246],[0.0 0.0 0.0 0.0]
[0.0219244229617974 -1.12923629849414E-249 0.0138867016563616 -1.12923644904675E-249],[0.0180097600282049 0.0 0.0178793368092237 0.0],[0.00391466293359255 -1.12923629849414E-249 -0.00399263515286213 -1.12923644904675E-249],[310.806028152632 2.86159147851818E-246 308.906639402205 2.86159186003273E-246],[0.0 0.0 0.0 0.0]
[0.0219529159665302 -1.08727438389109E-249 0.0138534341102958 -1.08727452884923E-249],[0.0180542113659388 0.0 0.0178342208841744 0.0],[0.00389870460059142 -1.08727438389109E-249 -0.00398078677387865 -1.08727452884923E-249],[311.187321540432 2.75525602205923E-246 308.517318376217 2.75525638939687E-246],[0.0 0.0 0.0 0.0]
[0.0218828938220482 -1.0468717552227E-249 0.0139231057787061 -1.04687189479427E-249],[0.0180985359502099 0.0 0.0177892955835235 0.0],[0.0037843578718383 -1.0468717552227E-249 -0.00386618980481743 -1.04687189479427E-249],[311.557431815877 2.65287194349094E-246 308.139204936093 2.65287229717848E-246],[0.0 0.0 0.0 0.0]
[0.0217259678147419 -1.00797047012269E-249 0.0140838183020318 -1.00797060450784E-249],[0.0181416124964636 0.0 0.0177457178036831 0.0],[0.00358435531827829 -1.00797047012269E-249 -0.00366189950165132 -1.00797060450784E-249],[311.907981837589 2.55429241138235E-246 307.781071091698 2.55429275192701E-246],[0.0 0.0 0.0 0.0]
[0.0214976641345048 -9.70514739337129E-250 0.0143192975921431 -9.70514868728585E-250],[0.0181824596709262 0.0 0.0177044919629047 0.0],[0.00331520446357859 -9.70514739337129E-250 -0.00338519437076165 -9.70514868728585E-250],[312.232208900337 2.45937605049263E-246 307.44999901463 2.45937637838281E-246],[0.0 0.0 0.0 0.0]
[0.0212113368378338 -9.34450846715742E-250 0.0146153660251085 -9.3445097129907E-250],[0.0182202805019263 0.0 0.0176664239271067 0.0],[0.0029910563359075 -9.34450846715742E-250 -0.00305105790199823 -9.3445097129907E-250],[312.524734269724 2.36798673902153E-246 307.151605490881 2.36798705472745E-246],[0.0 0.0 0.0 0.0]
[0.0208811499545356 -8.99727072176328E-250 0.0149569239166139 -8.99727192130195E-250],[0.0182544370743655 0.0 0.0176321485107945 0.0],[0.00262671288017004 -8.99727072176328E-250 -0.00267522459418068 -8.99727192130195E-250],[312.781626841864 2.27999341339386E-246 306.889968472142 2.2799937173683E-246],[0.0 0.0 0.0 0.0]
[0.0205206443190216 -8.66293617531751E-250 0.0153295315004885 -8.66293733028186E-250],[0.0182844593805276 0.0 0.0176021225700105 0.0],[0.00223618493849398 -8.66293617531751E-250 -0.002272591069522 -8.66293733028186E-250],[313.000325773508 2.19526988029815E-246 306.667709020156 2.19527017297703E-246],[0.0 0.0 0.0 0.0]
[0.0201425520545338 -8.34102535073182E-250 0.015719663631929 -8.34102646277822E-250],[0.0183100375435617 0.0 0.0175766357712586 0.0],[0.00183251451097212 -8.34102535073182E-250 -0.00185697213932959 -8.34102646277822E-250],[313.179545729279 2.11369463570979E-246 306.486097107843 2.11369491751285E-246],[0.0 0.0 0.0 0.0]
[0.0197589088177981 -8.03107658807159E-250 0.0161146339950733 -8.03107765879484E-250],[0.0183310117300251 0.0 0.0175558237905068 0.0],[0.00142789708777295 -8.03107658807159E-250 -0.00144118979543354 -8.03107765879484E-250],[313.319194092981 2.03515069063925E-246 306.345148717067 2.03515096197064E-246],[0.0 0.0 0.0 0.0]
[0.0193808140583315 -7.73264538247839E-250 0.0165028646990915 -7.73264641341405E-250],[0.0183473631588673 0.0 0.017539680179749 0.0],[0.00103345089946423 -7.73264538247839E-250 -0.00103681548065752 -7.73264641341405E-250],[313.420265611588 1.95952540335543E-246 306.243748142352 1.95952566460427E-246],[0.0 0.0 0.0 0.0]
[0.0190183000906494 -7.44530374669506E-250 0.0168740230494782 -7.44530473932161E-250],[0.0183592021715443 0.0 0.0175280707953033 0.0],[0.00065909791910514 -7.44530374669506E-250 -0.000654047745825129 -7.44530473932161E-250],[313.484725401239 1.88671031784343E-246 306.179782259748 1.88671056938438E-246],[0.0 0.0 0.0 0.0]
[0.0186802151700253 -7.16863959727904E-250 0.0172191275035323 -7.16864055302003E-250],[0.018366754663425 0.0 0.0175207492977588 0.0],[0.000313460506600236 -7.16863959727904E-250 -0.000301621794226492 -7.16864055302003E-250],[313.515381845045 1.81660100826526E-246 306.150283642249 1.81660125045905E-246],[0.0 0.0 0.0 0.0]
[0.0183741324152809 -6.90225616362375E-250 0.0175306146289774 -6.90225708384983E-250],[0.0183703470994711 0.0 0.0175173734185229 0.0],[3.78531580974908E-06 -6.90225616362375E-250 1.32412104544913E-05 -6.90225708384983E-250],[313.515752049007 1.74909692920024E-246 306.151578632896 1.74909716239422E-246],[0.0 0.0 0.0 0.0]
[0.0181062714240419 -6.64577141894048E-250 0.0178023849219524 -6.64577230497138E-250],[0.0183703904834943 0.0 0.0175175216129485 0.0],[-0.00026411905945237 -6.64577141894048E-250 0.000284863309003906 -6.64577230497138E-250],[313.489921199717 1.68410127145045E-246 306.179438270206 1.68410149597905E-246],[0.0 0.0 0.0 0.0]
[0.0178814843883902 -6.39881753238473E-250 0.0180297792217316 -6.39881838549111E-250],[0.0183673635016812 0.0 0.0175207099290513 0.0],[-0.000485879113291038 -6.39881753238473E-250 0.000509069292680277 -6.39881838549111E-250],[313.442402212734 1.62152082320439E-246 306.229225257197 1.62152103938961E-246],[0.0 0.0 0.0 0.0]
[0.017703206344347 -6.16104034154125E-250 0.0182095919476159 -6.16104116294658E-250],[0.0183617956521366 0.0 0.0175264083801534 0.0],[-0.000658589307789517 -6.16104034154125E-250 0.000683183567462525 -6.16104116294658E-250],[313.377992165279 1.56126583635965E-246 306.296040623739 1.56126604451152E-246],[0.0 0.0 0.0 0.0]
[0.0175734795496901 -5.9320988445114E-250 0.0183400126754041 -5.93209963539368E-250],[0.0183542500067189 0.0 0.0175340572983876 0.0],[-0.000780770457028818 -5.9320988445114E-250 0.000805955377016453 -5.93209963539368E-250],[313.301632798989 1.50324989781309E-246 306.374863075707 1.50325009823013E-246],[0.0 0.0 0.0 0.0]
[0.0174930376037999 -5.7116647108742E-250 0.0184205139495314 -5.71166547236765E-250],[0.0183453065060043 0.0 0.0175430829143819 0.0],[-0.000852268902204415 -5.7116647108742E-250 0.00087743103514944 -5.71166547236765E-250],[313.218280883332 1.44738980553374E-246 306.460675848468 1.44738999850337E-246],[0.0 0.0 0.0 0.0]
[0.017461283655353 -5.49942181081993E-250 0.0184518541294388 -5.49942254401662E-250],[0.0183355464991952 0.0 0.0175529116020214 0.0],[-0.000874262843842157 -5.49942181081993E-250 0.000898942527417467 -5.49942254401662E-250],[313.132777959744 1.3936054492408E-246 306.548592445603 1.39360563503977E-246],[0.0 0.0 0.0 0.0]
[0.0174764935588557 -5.29506576178085E-250 0.0184358620920722 -5.29506646773229E-250],[0.0183255373206496 0.0 0.0175629841087595 0.0],[-0.000849043761793962 -5.29506576178085E-250 0.000872877983312655 -5.29506646773229E-250],[313.049741462884 1.34181969551559E-246 306.633959929803 1.34181987441035E-246],[0.0 0.0 0.0 0.0]
[0.0175358634737057 -5.09830349190902E-250 0.0183753877285695 -5.09830417162761E-250],[0.0183158194835611 0.0 0.0175727673311822 0.0],[-0.000779956009855365 -5.09830349190902E-250 0.00080262039738737 -5.09830417162761E-250],[312.973461749543 1.29195827718268E-246 306.712456220697 1.2919584494298E-246],[0.0 0.0 0.0 0.0]
[0.0176356948818387 -4.90885281977494E-250 0.0182741216541451 -4.9088534742355E-250],[0.0183068946702903 0.0 0.0175817655100849 0.0],[-0.000671199788451603 -4.90885281977494E-250 0.000692356144060203 -4.9088534742355E-250],[312.907818396828 1.24394968680161E-246 306.780168665414 1.2439498526481E-246],[0.0 0.0 0.0 0.0]
[0.0177714351231626 -4.72644204968456E-250 0.0181365669541589 -4.72644267982565E-250],[0.0182992160644962 0.0 0.0175895293665172 0.0],[-0.000527780941333534 -4.72644204968456E-250 0.000547037587641765 -4.72644267982565E-250],[312.856201410225 1.19772507411633E-246 306.83366895241 1.19772523380003E-246],[0.0 0.0 0.0 0.0]
[0.0179379231014732 -4.55080958203398E-250 0.0179678086321565 -4.55081018875932E-250],[0.0182931793186635 0.0 0.0175956648799639 0.0],[-0.000355256217190243 -4.55080958203398E-250 0.000372143752192626 -4.55081018875932E-250],[312.821457345089 1.15321814731542E-246 306.870064618807 1.15321830106536E-246],[0.0 0.0 0.0 0.0]
[0.0181296527383052 -4.38170353814335E-250 0.0177732667754378 -4.38170412232304E-250],[0.0182891164673025 0.0 0.0175998394148686 0.0],[-0.000159463728997278 -4.38170353814335E-250 0.0001734273605692 -4.38170412232304E-250],[312.805861789208 1.1103650779615E-246 306.887025818134 1.11036522599816E-246],[0.0 0.0 0.0 0.0]
[0.0183406727796481 -4.2188813990316E-250 0.0175588176545376 -4.21888196150344E-250],[0.018287292923417 0.0 0.017601785011188 0.0],[5.33798562311512E-05 -4.2188813990316E-250 -4.29673566504675E-05 -4.21888196150344E-250],[312.811082340214 1.06910440945327E-246 306.882823609796 1.06910455198895E-246],[0.0 0.0 0.0 0.0]
[0.0185649537385329 -4.0621096576143E-250 0.017330440890561 -4.06211019918494E-250],[0.0182879033374392 0.0 0.0176013029715114 0.0],[0.000277050401093722 -4.0621096576143E-250 -0.000270862080950462 -4.06211019918494E-250],[312.838177874974 1.0293769688892E-246 306.856333292869 1.02937710612831E-246],[0.0 0.0 0.0 0.0]
[0.0187964880940244 -3.91116348382557E-250 0.0170941326104117 -3.91116400527169E-250],[0.0182910716521787 0.0 0.0175982643917405 0.0],[0.000505416441845676 -3.91116348382557E-250 -0.000504131781328864 -3.91116400527169E-250],[312.88760761308 9.91125782206236E-247 306.807029194587 9.91125914345609E-247],[0.0 0.0 0.0 0.0]
