position,rotation,velocity,angular_velocity
[8.739295 0.1000907 -21.82194],[0.9993076 0.03324491 0.005632359 0.01573211],[-0.2526936 0.0 -1.684141],[0.001211948 5.242413E-05 -0.0002207837]
[8.73416 0.1000907 -21.85509],[0.9993073 0.03325154 0.005632471 0.01573181],[-0.2567188 0.0 -1.657701],[0.0006623807 2.278048E-05 -3.317729E-05]
[8.728946 0.1000907 -21.88772],[0.9993073 0.03325261 0.005632436 0.01573334],[-0.2607118 0.0 -1.631471],[0.0001085968 -6.861553E-06 0.0001523796]
[8.723652 0.1000907 -21.91983],[0.9993074 0.03324782 0.005632249 0.0157367],[-0.2646734 0.0 -1.60545],[-0.0004768643 -3.747922E-05 0.0003378]
[8.71828 0.1000907 -21.95142],[0.9993077 0.03323654 0.005631899 0.01574191],[-0.2686046 0.0 -1.579638],[-0.001125287 -7.023831E-05 0.0005256676]
[8.71283 0.1000907 -21.9825],[0.9993082 0.03321785 0.005631371 0.01574898],[-0.2725064 0.0 -1.554038],[-0.001864311 -0.0001058787 0.0007144255]
[8.707302 0.1000907 -22.01308],[0.999309 0.03319083 0.005630653 0.01575789],[-0.2763798 0.0 -1.52865],[-0.002696921 -0.0001443599 0.0009019079]
[8.701697 0.1000907 -22.04315],[0.99931 0.03315425 0.005629722 0.01576871],[-0.2802258 0.0 -1.503475],[-0.00365119 -0.0001871636 0.001097229]
[8.696016 0.1000907 -22.07272],[0.9993114 0.03310687 0.005628562 0.01578139],[-0.2840453 0.0 -1.478516],[-0.004730691 -0.0002335187 0.001287071]
[8.69026 0.1000907 -22.10179],[0.9993132 0.03304721 0.005627146 0.01579597],[-0.2878393 0.0 -1.453775],[-0.005956642 -0.000284911 0.001483714]
[8.684428 0.1000907 -22.13038],[0.9993153 0.03297386 0.005625452 0.01581247],[-0.2916088 0.0 -1.429255],[-0.007326005 -0.0003408224 0.001680808]
[8.678521 0.1000907 -22.15848],[0.9993179 0.03288535 0.005623459 0.01583089],[-0.2953547 0.0 -1.40496],[-0.008840157 -0.0004013971 0.001879373]
[8.67254 0.1000907 -22.18609],[0.9993211 0.03278039 0.005621144 0.01585124],[-0.2990781 0.0 -1.380893],[-0.0104835 -0.0004661753 0.002079873]
[8.666484 0.1000907 -22.21324],[0.9993248 0.0326576 0.005618484 0.01587357],[-0.3027799 0.0 -1.35706],[-0.012266 -0.0005357408 0.002286376]
[8.660355 0.1000907 -22.2399],[0.999329 0.03251572 0.005615462 0.0158978],[-0.3064611 0.0 -1.333465],[-0.01417428 -0.000608777 0.002485036]
[8.654152 0.1000907 -22.26611],[0.999334 0.03235364 0.00561206 0.01592394],[-0.3101226 0.0 -1.310114],[-0.0161929 -0.0006853158 0.002683638]
[8.647877 0.1000907 -22.29185],[0.9993393 0.03217043 0.005608264 0.01595196],[-0.3137654 0.0 -1.287013],[-0.01830432 -0.0007648208 0.00288211]
[8.641529 0.1000907 -22.31713],[0.9993455 0.03196536 0.005604064 0.0159818],[-0.3173905 0.0 -1.264168],[-0.02049024 -0.0008462623 0.003073453]
[8.635109 0.1000907 -22.34196],[0.9993523 0.0317378 0.005599452 0.01601341],[-0.3209987 0.0 -1.241585],[-0.02273743 -0.0009295064 0.003261587]
[8.628617 0.1000907 -22.36635],[0.9993597 0.03148742 0.005594421 0.01604677],[-0.3245909 0.0 -1.219271],[-0.02501826 -0.00101365 0.003446181]
[8.622054 0.1000907 -22.39029],[0.9993677 0.03121404 0.005588972 0.0160818],[-0.328168 0.0 -1.197233],[-0.02731769 -0.001098003 0.003623737]
[8.615419 0.1000907 -22.4138],[0.9993764 0.03091762 0.005583107 0.01611843],[-0.3317309 0.0 -1.175477],[-0.02962031 -0.001182089 0.003794192]
[8.608714 0.1000907 -22.43688],[0.9993857 0.0305985 0.005576832 0.01615655],[-0.3352803 0.0 -1.154011],[-0.03188961 -0.001264506 0.003953805]
[8.601937 0.1000907 -22.45954],[0.9993955 0.03025723 0.005570159 0.01619606],[-0.3388169 0.0 -1.13284],[-0.03410313 -0.001344554 0.004102713]
[8.595091 0.1000907 -22.48178],[0.9994057 0.02989445 0.005563102 0.01623685],[-0.3423415 0.0 -1.111972],[-0.03625192 -0.001421947 0.004240757]
[8.588174 0.1000907 -22.50361],[0.9994165 0.02951112 0.005555679 0.01627882],[-0.3458547 0.0 -1.091411],[-0.03830745 -0.001495775 0.004368007]
[8.581186 0.1000907 -22.52503],[0.9994277 0.02910823 0.005547907 0.01632186],[-0.3493571 0.0 -1.071164],[-0.04026171 -0.001565745 0.004484008]
[8.574129 0.1000907 -22.54606],[0.9994391 0.02868722 0.005539816 0.01636579],[-0.3528493 0.0 -1.051235],[-0.04207262 -0.001630087 0.004581835]
[8.567002 0.1000907 -22.56669],[0.999451 0.02824945 0.005531431 0.01641047],[-0.3563317 0.0 -1.031629],[-0.04374807 -0.001689279 0.004665045]
[8.559806 0.1000907 -22.58694],[0.999463 0.02779667 0.005522782 0.01645577],[-0.3598047 0.0 -1.012351],[-0.04524762 -0.001742004 0.004733827]
[8.552541 0.1000907 -22.6068],[0.999475 0.02733055 0.005513902 0.01650155],[-0.3632687 0.0 -0.993402],[-0.04658092 -0.001788565 0.004787927]
[8.545206 0.1000907 -22.6263],[0.9994873 0.026853 0.005504824 0.01654767],[-0.366724 0.0 -0.9747863],[-0.04772334 -0.001828158 0.004827538]
[8.537803 0.1000907 -22.64543],[0.9994995 0.02636601 0.005495585 0.01659395],[-0.3701708 0.0 -0.9565051],[-0.04866572 -0.001860292 0.004849382]
[8.530331 0.1000907 -22.6642],[0.9995117 0.0258716 0.005486222 0.01664028],[-0.3736092 0.0 -0.9385595],[-0.049407 -0.001885117 0.004856928]
[8.52279 0.1000907 -22.68262],[0.9995238 0.02537186 0.005476772 0.01668651],[-0.3770394 0.0 -0.9209496],[-0.04993959 -0.001902386 0.004850356]
[8.515181 0.1000907 -22.7007],[0.9995357 0.02486887 0.005467272 0.01673252],[-0.3804614 0.0 -0.9036748],[-0.05026468 -0.001912118 0.004829993]
[8.507504 0.1000907 -22.71843],[0.9995475 0.02436475 0.005457763 0.01677814],[-0.3838751 0.0 -0.8867339],[-0.05037656 -0.00191394 0.004792239]
[8.499758 0.1000907 -22.73583],[0.9995589 0.02386161 0.00544828 0.01682325],[-0.3872805 0.0 -0.8701245],[-0.05027847 -0.001908164 0.004741213]
[8.491944 0.1000907 -22.75291],[0.99957 0.02336159 0.005438864 0.01686769],[-0.3906775 0.0 -0.8538435],[-0.04996651 -0.0018945 0.004673673]
[8.484063 0.1000907 -22.76967],[0.9995808 0.02286657 0.005429548 0.01691139],[-0.3940657 0.0 -0.8378872],[-0.04946686 -0.001874138 0.004596805]
[8.476114 0.1000907 -22.78611],[0.9995912 0.02237844 0.005420367 0.01695421],[-0.3974451 0.0 -0.8222511],[-0.04877697 -0.00184683 0.004507306]
[8.468098 0.1000907 -22.80225],[0.9996011 0.021899 0.005411353 0.01699602],[-0.4008153 0.0 -0.8069298],[-0.04790912 -0.001812837 0.00440191]
[8.460014 0.1000907 -22.81809],[0.9996105 0.02143002 0.005402538 0.01703673],[-0.404176 0.0 -0.7919176],[-0.04686262 -0.001772463 0.00428808]
[8.451864 0.1000907 -22.83363],[0.9996197 0.02097303 0.005393952 0.01707628],[-0.4075267 0.0 -0.7772077],[-0.04566499 -0.001726622 0.004166023]
[8.443646 0.1000907 -22.84889],[0.9996283 0.0205294 0.005385617 0.01711455],[-0.4108671 0.0 -0.7627934],[-0.04432939 -0.00167563 0.004032619]
[8.435363 0.1000907 -22.86386],[0.9996364 0.02010045 0.005377558 0.01715147],[-0.4141967 0.0 -0.7486668],[-0.04286249 -0.001619875 0.003891567]
[8.427012 0.1000907 -22.87856],[0.9996441 0.01968735 0.005369796 0.01718702],[-0.4175151 0.0 -0.7348201],[-0.04127773 -0.001559954 0.003747029]
[8.418596 0.1000907 -22.89298],[0.9996512 0.01929101 0.005362348 0.01722116],[-0.4208217 0.0 -0.7212448],[-0.03960279 -0.001496781 0.003598386]
[8.410114 0.1000907 -22.90714],[0.9996579 0.01891227 0.005355229 0.01725385],[-0.4241161 0.0 -0.7079323],[-0.03784336 -0.001430578 0.003446217]
[8.401567 0.1000907 -22.92104],[0.9996642 0.01855179 0.005348451 0.01728504],[-0.4273978 0.0 -0.6948736],[-0.0360195 -0.001361884 0.003286804]
[8.392953 0.1000907 -22.93468],[0.99967 0.01821008 0.005342022 0.01731471],[-0.4306661 0.0 -0.6820595],[-0.03414322 -0.001291401 0.003127688]
[8.384274 0.1000907 -22.94807],[0.9996753 0.01788748 0.00533595 0.01734289],[-0.4339207 0.0 -0.6694809],[-0.03223357 -0.001219755 0.002968787]
[8.375531 0.1000907 -22.96121],[0.9996803 0.01758414 0.005330237 0.01736953],[-0.437161 0.0 -0.6571284],[-0.03030859 -0.00114745 0.002806333]
[8.366723 0.1000907 -22.97411],[0.9996849 0.01730018 0.005324886 0.01739464],[-0.4403864 0.0 -0.6449927],[-0.02837216 -0.001074743 0.002644057]
